iter	Passed	Remaining
432	1720	2252
433	1722	2247
434	1725	2241
435	1728	2236
436	1731	2230
437	1734	2225
438	1736	2219
439	1739	2214
440	1742	2208
441	1745	2204
442	1748	2198
443	1750	2192
444	1753	2186
445	1755	2180
446	1759	2176
447	1762	2171
448	1764	2165
449	1767	2160
450	1770	2154
451	1772	2149
452	1776	2145
453	1779	2139
454	1782	2134
455	1784	2128
456	1787	2123
457	1790	2119
458	1793	2114
459	1796	2108
460	1799	2103
461	1801	2098
462	1806	2095
463	1809	2089
464	1811	2084
465	1814	2079
466	1816	2073
467	1819	2068
468	1823	2064
469	1825	2058
470	1828	2053
471	1831	2048
472	1838	2048
473	1843	2045
474	1847	2041
475	1851	2037
476	1856	2035
477	1860	2031
478	1863	2026
479	1868	2024
480	1873	2021
481	1876	2017
482	1880	2012
483	1884	2008
484	1886	2003
485	1889	1998
486	1892	1993
487	1894	1988
488	1899	1984
489	1901	1979
490	1904	1974
491	1907	1969
492	1910	1964
493	1914	1961
494	1917	1956
495	1920	1951
496	1923	1946
497	1925	1941
498	1929	1937
499	1932	1932
500	1935	1927
501	1937	1922
502	1940	1917
503	1945	1914
504	1948	1909
505	1951	1904
506	1953	1899
507	1956	1894
508	1960	1890
509	1963	1886
510	1966	1882
511	1969	1877
512	1972	1872
513	1976	1868
514	1979	1863
515	1981	1858
516	1984	1853
517	1986	1848
518	1991	1845
519	1993	1840
520	1996	1835
521	1998	1830
522	2001	1825
523	2004	1820
524	2007	1816
525	2010	1811
526	2013	1806
527	2015	1802
528	2018	1797
529	2022	1793
530	2024	1788
531	2027	1783
532	2030	1779
533	2034	1775
534	2037	1770
535	2040	1766
536	2042	1761
537	2044	1756
538	2048	1751
539	2052	1748
540	2056	1744
541	2059	1740
542	2061	1735
543	2064	1730
544	2068	1726
545	2071	1722
546	2073	1717
547	2075	1712
548	2078	1707
549	2081	1703
550	2084	1698
551	2087	1693
552	2089	1689
553	2092	1684
554	2095	1680
555	2099	1676
556	2101	1671
557	2104	1667
558	2107	1662
559	2110	1658
560	2113	1654
561	2116	1649
562	2119	1644
563	2121	1640
564	2124	1635
565	2129	1633
