iter	RMSE
0	101.3448834
1	99.19998666
2	97.1760464
3	95.22863275
4	93.55319212
5	91.77543095
6	90.1050608
7	88.77014121
8	87.30848538
9	85.90147612
10	84.54509939
11	83.24825377
12	81.95652833
13	80.72196668
14	79.565483
15	78.32411493
16	77.12738904
17	76.08739802
18	75.047564
19	74.13804657
20	73.32583031
21	72.52690166
22	71.68073614
23	70.93236234
24	70.25335976
25	69.50511283
26	68.83171896
27	68.23616554
28	67.66205417
29	67.07127355
30	66.44682284
31	65.93350111
32	65.42209816
33	64.90846137
34	64.42173554
35	63.96397793
36	63.51388963
37	63.05939612
38	62.70281178
39	62.40919547
40	62.01787785
41	61.73252411
42	61.43902024
43	61.12783738
44	60.80079189
45	60.4991324
46	60.2191299
47	59.93302003
48	59.67432697
49	59.38184603
50	59.11552455
51	58.91044878
52	58.65748179
53	58.46020496
54	58.21866455
55	58.01865346
56	57.79388385
57	57.58416095
58	57.42458613
59	57.26369614
60	57.11053954
61	56.96202332
62	56.83491665
63	56.64690973
64	56.49346348
65	56.34869136
66	56.19462282
67	56.05087008
68	55.92609005
69	55.77774301
70	55.66583875
71	55.5225301
72	55.4237738
73	55.28556021
74	55.19679287
75	55.06782891
76	54.94189375
77	54.83436319
78	54.69536569
79	54.5763049
80	54.45622042
81	54.33316088
82	54.21858666
83	54.10696042
84	54.0056776
85	53.85849045
86	53.74233226
87	53.64676425
88	53.57203135
89	53.50459575
90	53.39480927
91	53.28913312
92	53.169417
93	53.10135198
94	53.0296919
95	52.95404088
96	52.88355558
97	52.80381586
98	52.7048149
99	52.65323924
100	52.56323022
101	52.48907409
102	52.40435771
103	52.32817654
104	52.25509479
105	52.15795
106	52.0569886
107	51.98856909
108	51.90625643
109	51.82084666
110	51.76759211
111	51.71141984
112	51.64536041
113	51.57880647
114	51.5225651
115	51.46146102
116	51.3725646
117	51.32342091
118	51.21258509
119	51.15327596
120	51.07581895
121	51.01259133
122	50.96240756
123	50.90325736
124	50.83563366
125	50.75792185
126	50.67889217
127	50.57938718
128	50.4663834
129	50.38317608
130	50.35002652
131	50.26679276
132	50.18978191
133	50.13640389
134	50.08226601
135	50.02011333
136	49.98201782
137	49.92154612
138	49.86101898
139	49.79971269
140	49.75226826
141	49.69993243
142	49.65898455
143	49.61336337
144	49.54714599
145	49.46934551
146	49.41984279
147	49.35016908
148	49.30032957
149	49.22950097
150	49.1663629
151	49.110201
152	49.06684831
153	49.01915711
154	48.96269661
155	48.91322509
156	48.83178995
157	48.77296658
158	48.7348497
159	48.66985926
160	48.60822057
161	48.56675168
162	48.49087944
163	48.4441522
164	48.38169867
165	48.29669168
166	48.23116261
167	48.18340382
168	48.11643446
169	48.07905444
170	48.00305493
171	47.94218785
172	47.87791045
173	47.82603767
174	47.77264326
175	47.723885
176	47.66301732
177	47.61987873
178	47.54313853
179	47.50432249
180	47.4540771
181	47.39482712
182	47.34093258
183	47.25094303
184	47.2059693
185	47.18087147
186	47.10976954
187	47.06218561
188	47.00306168
189	46.95448697
190	46.90288072
191	46.83396081
192	46.79137341
193	46.76511854
194	46.72212572
195	46.68777925
196	46.62424893
197	46.60076022
198	46.54982044
199	46.50218173
200	46.46185839
201	46.40254094
202	46.36964869
203	46.31277433
204	46.27379239
205	46.19615842
206	46.14595546
207	46.09613933
208	46.05662154
209	45.98415196
210	45.95594691
211	45.91839166
212	45.85922897
213	45.83909039
214	45.79999725
215	45.74315335
216	45.68300448
217	45.63793359
218	45.58944004
219	45.54714148
220	45.51125599
221	45.47587175
222	45.43989087
223	45.42594043
224	45.37945114
225	45.34446726
226	45.29743257
227	45.26552257
228	45.23573717
229	45.20093452
230	45.14599031
231	45.08333185
232	45.02688229
233	44.96687457
234	44.93425941
235	44.90483041
236	44.86511125
237	44.80445282
238	44.76612534
239	44.71701938
240	44.66974187
241	44.62513971
242	44.57273909
243	44.52847709
244	44.47605944
245	44.44639432
246	44.41587008
247	44.37544736
248	44.3232263
249	44.26707577
250	44.22736401
251	44.19722677
252	44.15536415
253	44.10225347
254	44.07007707
255	44.0402004
256	44.00298959
257	43.96705875
258	43.91827027
259	43.88525444
260	43.81702516
261	43.75397535
262	43.70882185
263	43.64440054
264	43.59834536
265	43.56068982
266	43.5013286
267	43.45222957
268	43.42000228
269	43.36471583
270	43.33523032
271	43.2886045
272	43.21854703
273	43.17794335
274	43.14022465
275	43.08217555
276	43.04319498
277	42.99417638
278	42.96406175
279	42.93999365
280	42.8892089
281	42.84508033
282	42.80424898
283	42.76484387
284	42.72169076
285	42.66669995
286	42.61910683
287	42.56831225
288	42.52173838
289	42.48109402
290	42.44171564
291	42.40606179
292	42.37825005
293	42.32242253
294	42.28807065
295	42.23391101
296	42.19567022
297	42.15099759
298	42.11528051
299	42.06267691
300	42.02691259
301	41.97169199
302	41.94067585
303	41.91981556
304	41.90129034
305	41.86664532
306	41.830073
307	41.78227531
308	41.72739918
309	41.66169419
310	41.6414393
311	41.6036834
312	41.56907456
313	41.50082038
314	41.44564366
315	41.42211346
316	41.36812721
317	41.32319235
318	41.29054894
319	41.23951839
320	41.22002931
321	41.16248901
322	41.14929759
323	41.09055292
324	41.03868246
325	40.98226311
326	40.95573033
327	40.93877569
328	40.90303941
329	40.85387784
330	40.79850376
331	40.7439776
332	40.69746187
333	40.64620532
334	40.60755117
335	40.58858288
336	40.55248093
337	40.51230185
338	40.48192238
339	40.44495167
340	40.41962017
341	40.3642219
342	40.33488428
343	40.28789034
344	40.26049314
345	40.24437458
346	40.23753449
347	40.1998668
348	40.18259241
349	40.14443576
350	40.10796883
351	40.07394011
352	40.05369348
353	40.02472267
354	39.97537434
355	39.91646892
356	39.85957385
357	39.81508585
358	39.7901969
359	39.69492356
360	39.64714247
361	39.62449346
362	39.57441077
363	39.56146009
364	39.53350786
365	39.49926647
366	39.45172714
367	39.42728902
368	39.38496856
369	39.35591832
370	39.33450928
371	39.319796
372	39.30085662
373	39.23658686
374	39.18152847
375	39.1393335
376	39.12704069
377	39.10834291
378	39.06651424
379	39.03820739
380	39.00597246
381	38.9697681
382	38.93738187
383	38.92282811
384	38.88945712
385	38.85046903
386	38.81906967
387	38.78194746
388	38.72483247
389	38.67636323
390	38.63055977
391	38.59310123
392	38.55162423
393	38.51459647
394	38.48488297
395	38.45189943
396	38.38822237
397	38.34732545
398	38.3308382
399	38.2998346
400	38.26807276
401	38.25151569
402	38.23127404
403	38.22295327
404	38.16702515
405	38.12464148
406	38.09575269
407	38.05841202
408	38.00596382
409	37.98669933
410	37.95375657
411	37.90110889
412	37.88607249
413	37.84827532
414	37.80115346
415	37.76850555
416	37.72352722
417	37.69351598
418	37.6405764
419	37.60473974
420	37.56059548
421	37.50991342
422	37.47817592
423	37.42743761
424	37.37324157
425	37.35205961
426	37.31151788
427	37.27222165
428	37.22674891
429	37.1706927
430	37.11702623
431	37.09448365
432	37.07905703
433	37.03341909
434	37.00794872
435	36.94643642
436	36.90270832
437	36.88842101
438	36.87362743
439	36.85477863
440	36.8132251
441	36.76826383
442	36.70211657
443	36.68516039
444	36.65266452
445	36.64056969
446	36.60926003
447	36.59472798
448	36.5546318
449	36.51551916
450	36.49102508
451	36.47230705
452	36.43980383
453	36.39627545
454	36.36585036
455	36.31472138
456	36.26384793
457	36.22605351
458	36.19529883
459	36.15245918
460	36.12575073
461	36.09568512
462	36.06902258
463	36.0244448
464	35.98057076
465	35.90976987
466	35.89958874
467	35.85874382
468	35.84056904
469	35.81430832
470	35.78707981
471	35.74004964
472	35.70070849
473	35.64942443
474	35.6220003
475	35.59221089
476	35.58622285
477	35.55091092
478	35.52513189
479	35.48498596
480	35.45958943
481	35.40848147
482	35.36950983
483	35.32426568
484	35.27855012
485	35.25659066
486	35.18098125
