iter	Passed	Remaining
427	1729	2311
428	1734	2308
429	1738	2304
430	1741	2299
431	1747	2297
432	1751	2293
433	1755	2289
434	1760	2286
435	1764	2282
436	1768	2278
437	1772	2273
438	1776	2270
439	1780	2266
440	1784	2262
441	1788	2258
442	1794	2256
443	1799	2253
444	1804	2250
445	1809	2247
446	1812	2242
447	1816	2237
448	1819	2232
449	1823	2228
450	1826	2223
451	1830	2219
452	1834	2214
453	1838	2210
454	1842	2206
455	1845	2202
456	1849	2197
457	1854	2195
458	1860	2192
459	1864	2188
460	1870	2186
461	1874	2182
462	1878	2179
463	1883	2176
464	1887	2172
465	1891	2167
466	1894	2162
467	1897	2156
468	1900	2151
469	1903	2146
470	1906	2141
471	1909	2136
472	1913	2131
473	1917	2127
474	1920	2123
475	1923	2117
476	1926	2112
477	1930	2108
478	1934	2103
479	1937	2099
480	1940	2094
481	1943	2088
482	1946	2083
483	1949	2078
484	1952	2073
485	1955	2068
486	1958	2063
487	1961	2058
488	1964	2052
489	1967	2048
490	1970	2042
491	1974	2038
492	1976	2033
493	1979	2027
494	1982	2022
495	1986	2018
496	1990	2014
497	1993	2009
498	1996	2004
499	1999	1999
500	2003	1995
501	2007	1991
502	2010	1986
503	2014	1982
504	2017	1977
505	2020	1972
506	2024	1968
507	2027	1964
508	2031	1959
509	2034	1954
510	2037	1950
511	2040	1945
512	2043	1940
513	2047	1935
514	2050	1930
515	2053	1926
516	2056	1921
517	2059	1916
518	2062	1911
519	2065	1906
520	2068	1902
521	2071	1897
522	2075	1892
523	2078	1888
524	2081	1883
525	2084	1878
526	2087	1873
527	2090	1869
528	2093	1864
529	2097	1859
530	2099	1854
531	2103	1850
532	2107	1846
533	2110	1841
534	2113	1837
535	2116	1832
536	2120	1828
537	2123	1823
538	2126	1818
539	2129	1814
540	2132	1809
541	2135	1804
542	2138	1800
543	2141	1795
544	2145	1790
545	2148	1786
546	2151	1782
547	2154	1777
548	2157	1772
549	2162	1768
550	2165	1764
551	2168	1760
552	2171	1755
553	2175	1751
554	2179	1747
555	2183	1743
556	2187	1739
557	2190	1735
558	2196	1732
559	2200	1729
560	2204	1725
561	2208	1721
562	2212	1717
563	2215	1713
564	2219	1708
565	2223	1704
566	2226	1700
567	2230	1696
568	2232	1691
569	2236	1687
570	2240	1683
571	2243	1678
572	2246	1674
573	2250	1670
574	2254	1666
575	2257	1662
576	2261	1657
577	2265	1654
578	2270	1651
579	2274	1646
580	2278	1642
581	2282	1639
582	2286	1635
583	2290	1631
584	2293	1627
585	2296	1622
586	2301	1619
587	2305	1615
588	2309	1611
589	2313	1607
590	2317	1603
591	2320	1599
592	2324	1595
593	2327	1590
594	2331	1586
595	2334	1582
596	2338	1578
597	2341	1574
598	2345	1569
599	2348	1565
600	2351	1561
601	2355	1556
602	2358	1552
603	2361	1548
604	2364	1543
605	2367	1539
606	2370	1534
607	2373	1530
608	2376	1525
609	2379	1521
610	2382	1517
611	2385	1512
612	2388	1508
613	2392	1503
614	2394	1499
615	2397	1494
616	2401	1490
617	2404	1486
618	2407	1481
619	2410	1477
620	2413	1472
621	2416	1468
622	2419	1464
623	2422	1459
624	2425	1455
625	2428	1450
626	2431	1446
627	2434	1442
628	2438	1437
629	2441	1433
630	2444	1429
631	2447	1425
632	2450	1420
633	2453	1416
634	2456	1411
635	2459	1407
636	2462	1403
637	2465	1398
638	2468	1394
639	2471	1390
640	2474	1385
641	2477	1381
642	2480	1377
643	2484	1373
644	2487	1368
645	2490	1364
646	2493	1360
647	2496	1356
648	2499	1351
649	2502	1347
650	2505	1343
651	2509	1339
652	2512	1334
653	2515	1330
654	2518	1326
655	2521	1322
656	2524	1317
657	2527	1313
658	2530	1309
659	2533	1305
660	2537	1301
661	2540	1297
662	2543	1292
663	2546	1288
664	2549	1284
665	2552	1280
666	2555	1275
667	2558	1271
668	2561	1267
669	2564	1263
670	2567	1259
671	2570	1254
672	2573	1250
673	2576	1246
674	2579	1242
675	2582	1237
676	2585	1233
677	2588	1229
678	2591	1225
679	2594	1221
680	2597	1216
681	2600	1212
682	2603	1208
683	2607	1204
684	2610	1200
685	2613	1196
686	2616	1192
687	2619	1187
688	2622	1183
689	2625	1179
690	2628	1175
691	2631	1171
692	2634	1167
693	2638	1163
694	2640	1158
695	2644	1154
696	2647	1150
697	2650	1146
698	2653	1142
699	2656	1138
700	2659	1134
701	2662	1130
702	2665	1126
703	2668	1121
704	2671	1117
705	2674	1113
706	2677	1109
707	2680	1105
708	2683	1101
709	2686	1097
710	2689	1093
711	2692	1089
712	2696	1085
713	2699	1081
714	2702	1077
715	2705	1073
716	2708	1069
717	2711	1065
718	2714	1061
719	2718	1057
720	2722	1053
721	2726	1049
722	2729	1045
723	2733	1041
724	2736	1037
725	2739	1033
726	2741	1029
727	2745	1025
728	2749	1021
729	2752	1018
730	2755	1014
731	2758	1010
732	2762	1006
733	2767	1002
734	2770	998
735	2773	994
736	2776	990
737	2781	987
738	2784	983
739	2788	979
740	2791	975
741	2795	972
742	2799	968
743	2802	964
744	2805	960
745	2809	956
746	2813	952
747	2816	948
748	2819	944
749	2822	940
750	2826	937
751	2830	933
752	2833	929
753	2836	925
754	2839	921
755	2843	917
756	2846	913
757	2849	909
758	2852	905
759	2856	902
760	2860	898
761	2864	894
762	2867	890
763	2872	887
764	2875	883
765	2878	879
766	2881	875
767	2884	871
768	2887	867
769	2890	863
770	2893	859
771	2896	855
772	2899	851
773	2903	847
774	2906	843
775	2909	839
776	2912	835
777	2915	831
778	2918	827
779	2921	823
780	2924	820
781	2927	816
782	2930	812
783	2933	808
784	2936	804
785	2939	800
786	2942	796
787	2945	792
788	2948	788
789	2951	784
790	2954	780
791	2957	776
792	2960	772
793	2964	769
794	2967	765
795	2970	761
796	2972	757
797	2976	753
798	2978	749
799	2981	745
800	2984	741
801	2987	737
802	2991	733
803	2993	729
804	2997	726
805	3000	722
806	3002	718
807	3005	714
808	3008	710
809	3011	706
810	3014	702
811	3017	698
812	3020	694
813	3024	691
814	3027	687
