iter	RMSE
0	101.3224363
1	99.17781086
2	97.34429643
3	95.34000423
4	93.59053979
5	91.75537031
6	90.06894649
7	88.53539603
8	86.97147687
9	85.45442373
10	84.00601293
11	82.70494328
12	81.45428489
13	80.42585252
14	79.17678779
15	78.09049763
16	76.97985404
17	76.19325653
18	75.19822709
19	74.36572472
20	73.46891335
21	72.61333692
22	71.8937003
23	71.07656423
24	70.35085937
25	69.66709605
26	68.97505522
27	68.38403177
28	67.85131364
29	67.22798976
30	66.63257999
31	65.97837918
32	65.69313152
33	65.29645267
34	64.76773672
35	64.30445086
36	63.93691362
37	63.471234
38	63.00332324
39	62.59718919
40	62.16219745
41	61.79784066
42	61.37144155
43	61.00662226
44	60.7226721
45	60.42442584
46	60.10622335
47	59.8173224
48	59.5496196
49	59.3213712
50	59.07891058
51	58.82806093
52	58.5952044
53	58.32966322
54	58.1205564
55	57.95590863
56	57.73989944
57	57.56821996
58	57.36047245
59	57.20516487
60	57.02688459
61	56.84006258
62	56.64721548
63	56.49838695
64	56.32149613
65	56.15657288
66	55.97464939
67	55.82566316
68	55.72267326
69	55.58383142
70	55.44903831
71	55.34328528
72	55.19990465
73	55.08494321
74	54.91694087
75	54.77073611
76	54.62361029
77	54.49231729
78	54.35601752
79	54.24145609
80	54.11699917
81	53.98791068
82	53.90420516
83	53.80284537
84	53.70950607
85	53.62235071
86	53.52823669
87	53.43129254
88	53.34881795
89	53.27190514
90	53.13586429
91	53.04934677
92	52.98203827
93	52.88885533
94	52.80533547
95	52.69900824
96	52.5840648
97	52.50040811
98	52.40359086
99	52.34028379
100	52.25434019
101	52.17446779
102	52.13834665
103	52.05779856
104	51.94357313
105	51.84750518
106	51.75606229
107	51.70161737
108	51.61103579
109	51.55188424
110	51.48574831
111	51.39951904
112	51.33450836
113	51.28850657
114	51.20871553
115	51.1832939
116	51.10966419
117	51.05001046
118	50.98960389
119	50.90586186
120	50.83741563
121	50.75465344
122	50.69818623
123	50.615196
124	50.55770822
125	50.513273
126	50.44218644
127	50.37490109
128	50.31737853
129	50.23273139
130	50.15513255
131	50.1043289
132	50.0337103
133	49.98299949
134	49.93178825
135	49.86581116
136	49.79948305
137	49.73137553
138	49.63238367
139	49.56243445
140	49.51950185
141	49.47750323
142	49.40667456
143	49.31711946
144	49.26200723
145	49.20422654
146	49.12069837
147	49.06557833
148	48.98671248
149	48.90194248
150	48.83395044
151	48.77650435
152	48.72599784
153	48.67576864
154	48.60091554
155	48.55241237
156	48.51086802
157	48.4333957
158	48.35612055
159	48.32209784
160	48.27351087
161	48.23940169
162	48.16202154
163	48.11087534
164	48.03311249
165	47.98666508
166	47.92721576
167	47.86422216
168	47.8088494
169	47.75793786
170	47.67161568
171	47.63466463
172	47.59154418
173	47.5318972
174	47.4667542
175	47.40558744
176	47.35023968
177	47.30078466
178	47.24703495
179	47.14792339
180	47.09344069
181	47.02600301
182	46.97012164
183	46.94005863
184	46.89193629
185	46.85382311
186	46.79476451
187	46.75187787
188	46.70310286
189	46.65679932
190	46.60581502
191	46.55460138
192	46.50926915
193	46.46461
194	46.40198441
195	46.35030906
196	46.27723142
197	46.22492461
198	46.16158304
199	46.11087729
200	46.06530069
201	46.02693552
202	45.96394728
203	45.88683031
204	45.84291927
205	45.78777091
206	45.75931497
207	45.69394686
208	45.62247372
209	45.57856431
210	45.53175691
211	45.48048806
212	45.42379136
213	45.39514272
214	45.34001969
215	45.28968328
216	45.23748692
217	45.20424816
218	45.14599507
219	45.1084727
220	45.0566613
221	45.00261741
222	44.92997226
223	44.8618909
224	44.80422331
225	44.75958611
226	44.70649315
227	44.66902635
228	44.61252181
229	44.57339099
230	44.55102466
231	44.50441914
232	44.45650075
233	44.4182837
234	44.36807773
235	44.32143415
236	44.25917373
237	44.23031009
238	44.18630963
239	44.13138772
